businessName,clientID,contactName,phoneNumber,email,address,state,zipcode,notes,industry,createdDate
Daugherty-Price,14,Jeremy Rodriguez,(336)220-0552x0413,info@daugherty-price.com,"03322 James Square
Calhounport, DE 89184",ID,41611,Regular client,innovate real-time channels,2025-01-20
Stephenson Group,15,Joseph Bautista,(578)369-0051x229,info@stephensongroup.com,"94870 Jennifer Walks Apt. 533
Samanthastad, WA 29885",LA,16152,Regular client,facilitate seamless e-services,2025-01-20
Martin LLC,16,Mr. Mark Moses,610-353-9842x42443,info@martinllc.com,"62559 Bowen Underpass Apt. 714
East Vincent, MA 77790",PR,75991,Regular client,revolutionize impactful niches,2025-01-20
Murray-Duncan,17,Carol Garcia,001-244-969-5852x775,info@murray-duncan.com,"43453 Miguel Turnpike Apt. 699
Perezstad, AZ 42782",NE,17139,Regular client,architect granular e-markets,2025-01-20
Simmons-Hess,18,Jim Silva,(732)201-9608x69180,info@simmons-hess.com,"331 Booth Fort Apt. 077
Calebchester, AK 21809",HI,42509,Regular client,integrate visionary e-commerce,2025-01-20
Thornton-Villanueva,19,Thomas Reid,001-988-625-2107x29744,info@thornton-villanueva.com,"3543 Justin Crest
Macdonaldhaven, OR 00511",NC,25164,Regular client,synthesize open-source portals,2025-01-20
Martinez-Underwood,20,Cristina Douglas,596.827.1945,info@martinez-underwood.com,"0083 Robinson Branch
Port Isaac, CO 32900",NC,85105,Regular client,disintermediate end-to-end eyeballs,2025-01-20
"Peck, Davis and Smith",21,Joel Green,913.629.6967x0571,"info@peck,davisandsmith.com","35115 Doyle Rapids Suite 352
West Peggyville, MN 76001",PW,08982,Regular client,matrix synergistic experiences,2025-01-20
Bridges-King,22,Stephanie Delgado,+1-873-620-4802,info@bridges-king.com,"2529 Ryan Run
Lake Kendra, SC 51257",AS,90821,Regular client,unleash viral deliverables,2025-01-20
"Phelps, Perez and Pittman",23,Haley Webster,+1-267-261-4438x31496,"info@phelps,perezandpittman.com","5375 Jeffrey Road
Lake Lisachester, CO 63881",MP,84723,Regular client,innovate wireless action-items,2025-01-20
"Alexander, Salazar and Reyes",24,Anthony Gross,369-238-1979x34051,"info@alexander,salazarandreyes.com","381 Brian Ports
Orozcoton, ID 75718",DE,67438,Regular client,benchmark extensible architectures,2025-01-20
"Carson, Rodriguez and Schmitt",25,Allison Munoz,599-354-5604x5705,"info@carson,rodriguezandschmitt.com","46679 Morgan Stravenue Apt. 671
Andreaberg, GU 46617",DC,43851,Regular client,enable magnetic relationships,2025-01-20
"Gomez, Munoz and Thompson",26,Andrew Harmon,874.469.3344x667,"info@gomez,munozandthompson.com","PSC 1898, Box 1373
APO AA 94304",CA,25768,Regular client,utilize best-of-breed models,2025-01-20
Harding and Sons,27,Joseph Gonzales,+1-997-201-2170x4260,info@hardingandsons.com,"16511 Evans Court Suite 580
Robertstad, PW 33445",TX,96010,Regular client,scale collaborative action-items,2025-01-20
Richards Ltd,28,Julian Brown,001-553-397-8347x7370,info@richardsltd.com,"5771 Jones Circle Suite 183
East Mistyside, AK 35120",MH,41442,Regular client,incentivize visionary niches,2025-01-20
King Inc,29,Carla Morgan MD,4223500073,info@kinginc.com,"40289 Sara Ridge
Meredithview, AZ 55104",NH,37182,Regular client,engage killer web-readiness,2025-01-20
"Rowland, Chambers and Stephens",30,Judith Le,(213)363-4022,"info@rowland,chambersandstephens.com","180 Joseph Ports Suite 326
Rebeccaton, NH 70309",PR,37894,Regular client,synergize transparent portals,2025-01-20
Murray PLC,31,Mariah Khan,3194202219,info@murrayplc.com,"PSC 2808, Box 6845
APO AA 64810",ND,78168,Regular client,seize extensible synergies,2025-01-20
Cox Group,32,Tyler Coleman,+1-737-959-7592,info@coxgroup.com,"822 Barker Drives Suite 372
Wongstad, WI 92786",PW,82273,Regular client,orchestrate front-end supply-chains,2025-01-20
"Morris, Andrews and Stuart",33,Robert Rosales,+1-526-336-1180x14813,"info@morris,andrewsandstuart.com","4554 James Circles Suite 279
South Anthonystad, KS 12058",OK,25871,Regular client,synergize customized bandwidth,2025-01-20
Mills-Johnson,34,Marcus Wallace,561-453-0417x06417,info@mills-johnson.com,"2661 Andersen Parks Apt. 601
Port Kristin, TN 31273",OK,34943,Regular client,innovate best-of-breed users,2025-01-20
"Barker, Beltran and Stone",35,Preston Jennings,788-507-6657x46381,"info@barker,beltranandstone.com","267 Taylor Rapids
West Cynthia, ND 56746",MD,52822,Regular client,mesh back-end applications,2025-01-20
"Hoffman, Matthews and Thompson",36,Stephen Contreras,270-486-2282,"info@hoffman,matthewsandthompson.com","1604 James Drive
Christopherview, OR 20423",NH,64134,Regular client,re-intermediate cross-media info-mediaries,2025-01-20
Abbott-Lynch,37,Amy Green,001-728-789-7221x62253,info@abbott-lynch.com,"6695 Thomas Lakes Apt. 000
Kingville, FL 75006",CT,80609,Regular client,synthesize proactive infrastructures,2025-01-20
"Rodriguez, Kelly and Arnold",38,Eric Stanley,2023113442,"info@rodriguez,kellyandarnold.com","41156 Dustin Mountains
Brianbury, ID 64695",DC,91660,Regular client,incubate proactive communities,2025-01-20
Adams-Keith,39,Travis Peterson,7384521628,info@adams-keith.com,"6492 Sarah Glen
Lake Mariotown, DE 15439",DC,40993,Regular client,transform cross-media e-services,2025-01-20
Hoffman Ltd,40,Daniel Walker,(453)754-2902,info@hoffmanltd.com,"59805 Mary Run
East Kathleen, WY 02456",MT,68845,Regular client,aggregate B2C ROI,2025-01-20
Murphy Group,41,Julie Thomas,001-814-752-2077x42319,info@murphygroup.com,"33164 Dana Burg Apt. 405
Johnsonfurt, VT 45331",HI,29316,Regular client,reinvent open-source e-business,2025-01-20
Hansen Inc,42,Daniel Taylor,001-462-257-7863x91856,info@hanseninc.com,"022 Santos Island Apt. 745
West Lisahaven, MA 89712",ME,61563,Regular client,reinvent out-of-the-box mindshare,2025-01-20
"Johnson, Armstrong and House",43,Kelly Moreno,501-680-3017,"info@johnson,armstrongandhouse.com","991 Graham Walk
Michaelville, WV 89145",TN,26709,Regular client,integrate virtual e-markets,2025-01-20
"Gibson, Long and Frye",44,Judy Smith,001-378-219-5369x9731,"info@gibson,longandfrye.com","866 Hutchinson Valleys
Burtonmouth, KY 02630",AR,69857,Regular client,matrix plug-and-play networks,2025-01-20
"Mercado, Barrett and Lopez",45,Timothy Bryant,655-833-5702x013,"info@mercado,barrettandlopez.com","60042 White Forest
East Carlosberg, MD 49266",LA,86099,Regular client,reinvent dot-com eyeballs,2025-01-20
King LLC,46,Christian Mcdowell,417.554.7779,info@kingllc.com,"52160 David Square Apt. 444
Wagnerview, PR 84803",GU,53758,Regular client,re-intermediate compelling niches,2025-01-20
"Owens, Wood and Scott",47,Beth Wood,365.760.9856x1245,"info@owens,woodandscott.com","7885 Middleton Bypass
West Rogershire, IA 86831",NE,43248,Regular client,benchmark B2B models,2025-01-20
Koch Group,48,James Green,923-674-4959,info@kochgroup.com,"Unit 8565 Box 6953
DPO AA 29046",KS,23796,Regular client,streamline collaborative ROI,2025-01-20
Gill and Sons,49,Chad Jenkins DVM,(457)494-3848,info@gillandsons.com,"53181 Heather Lock
Daltonfort, MP 24089",WI,03737,Regular client,re-contextualize plug-and-play content,2025-01-20
"Todd, Blackburn and Williams",50,Douglas Williamson,594.556.8658x83869,"info@todd,blackburnandwilliams.com","3731 Graham Radial Suite 647
Paulmouth, MN 31976",ID,35231,Regular client,enable distributed vortals,2025-01-20
Mccoy-Nguyen,51,Kelly Turner,(248)276-0164x455,info@mccoy-nguyen.com,"30814 Miguel Brooks Suite 256
West Williamfurt, MP 55995",MO,46018,Regular client,extend cutting-edge communities,2025-01-20
Miller-Simon,52,Kyle Simpson PhD,001-404-237-2298x8436,info@miller-simon.com,"6788 Smith Spring Apt. 620
South Thomasshire, WV 71151",MI,37431,Regular client,drive value-added e-markets,2025-01-20
Zimmerman Ltd,53,Mr. Jared Brady,(472)677-7818x363,info@zimmermanltd.com,"9987 Theresa Hills
Hollystad, GU 13456",ND,42539,Regular client,whiteboard granular web services,2025-01-20
Harper and Sons,54,Tyler Brown,(729)674-6560x385,info@harperandsons.com,"652 David Lane
Zimmermanshire, NY 66818",FL,40474,Regular client,exploit innovative e-commerce,2025-01-20
"Jackson, Jensen and Hamilton",55,Thomas Garcia,210.914.3643,"info@jackson,jensenandhamilton.com","48881 Crawford Square
West Prestonfort, OK 84570",MP,34160,Regular client,whiteboard seamless metrics,2025-01-20
Phillips PLC,56,Brandi Anderson DDS,+1-506-590-5362x5276,info@phillipsplc.com,"411 King Isle
Gregoryborough, VA 07997",OK,72661,Regular client,morph 24/7 web services,2025-01-20
Page-Walker,57,Hannah Alexander,+1-439-764-9547x823,info@page-walker.com,"20180 Amanda Unions
Patrickshire, CA 45917",MD,12104,Regular client,engage B2C applications,2025-01-20
Braun and Sons,58,Cheryl Brown,945-357-6346,info@braunandsons.com,"PSC 3920, Box 0855
APO AE 54724",OK,21541,Regular client,brand leading-edge deliverables,2025-01-20
Kirk-Arroyo,59,Vincent Schwartz,519.609.9762x2599,info@kirk-arroyo.com,"27612 Arthur Drives Apt. 227
Lake Davidstad, WI 92715",NC,48228,Regular client,re-intermediate global relationships,2025-01-20
Gonzalez Group,60,Jose Roberson,844.930.3476x3181,info@gonzalezgroup.com,"71543 Jesus Neck Apt. 021
Estradaborough, MO 75052",HI,81546,Regular client,streamline clicks-and-mortar action-items,2025-01-20
Singh and Sons,61,Rita Craig,542.756.7158x52113,info@singhandsons.com,"5464 Briana Row
Ramseymouth, IA 81434",MD,72607,Regular client,monetize wireless initiatives,2025-01-20
Peters and Sons,62,Laura Hopkins,+1-308-327-6922x061,info@petersandsons.com,"1450 Kevin Bridge
Lake Jamesstad, AZ 04829",NM,51282,Regular client,re-contextualize next-generation ROI,2025-01-20
"Sanchez, Baxter and Rodriguez",63,Shannon Phelps,001-645-474-8243x714,"info@sanchez,baxterandrodriguez.com","80669 Christopher Lakes Apt. 651
Janiceport, VI 85699",AS,70427,Regular client,enhance innovative paradigms,2025-01-20
Campos-George,64,Wendy Johnson,267-731-4553,info@campos-george.com,"6717 Russo Shore
Gailhaven, WV 47304",MO,43744,Regular client,disintermediate frictionless initiatives,2025-01-20
Phillips Group,65,Courtney Thomas,(975)626-5107,info@phillipsgroup.com,"9817 Daniel Mountains Suite 002
West Carolfort, AZ 15718",MH,09470,Regular client,extend viral infrastructures,2025-01-20
"Elliott, Lowe and Brooks",66,Debra Hart,+1-318-463-1483x9138,"info@elliott,loweandbrooks.com","8840 Thompson Square Apt. 482
Davidland, MH 36683",KS,23857,Regular client,enhance seamless web-readiness,2025-01-20
"Smith, Dunn and Harris",67,Corey Hampton,916.273.1175x75008,"info@smith,dunnandharris.com","5292 Amanda Manors
Vasquezfurt, NM 81528",DC,84518,Regular client,orchestrate ubiquitous networks,2025-01-20
Mills-Mccoy,68,Jeremy Irwin,001-668-801-5126x8412,info@mills-mccoy.com,"9509 Larsen Island Suite 504
South Amyborough, MD 25434",CA,89182,Regular client,scale global content,2025-01-20
"Campbell, Nolan and Mcintyre",69,Jon Anderson,5587204169,"info@campbell,nolanandmcintyre.com","48997 Rodriguez Fords
Sarahville, OR 22972",OK,41917,Regular client,e-enable dynamic convergence,2025-01-20
Smith-Barber,70,Gary Hernandez,620.379.7149,info@smith-barber.com,"51030 Stone Centers Apt. 792
Browntown, VI 63859",VT,52633,Regular client,maximize next-generation mindshare,2025-01-20
Delgado-Johnson,71,Steve Parrish,(886)483-3299x54799,info@delgado-johnson.com,"Unit 3358 Box 5107
DPO AA 73509",FL,27899,Regular client,mesh collaborative relationships,2025-01-20
"Davis, Cummings and Davis",72,Matthew Patton,+1-518-767-8642x01190,"info@davis,cummingsanddavis.com","57472 Newman Prairie Apt. 410
North Frank, VA 13678",NH,58861,Regular client,enhance enterprise ROI,2025-01-20
Kelley-Coleman,73,Steven Medina,707-939-8353,info@kelley-coleman.com,"1900 Kristy Lane Apt. 600
Hortonfort, HI 07345",FM,46337,Regular client,re-intermediate global web services,2025-01-20
"Trujillo, Williams and Garcia",74,Jamie Brooks,5256904918,"info@trujillo,williamsandgarcia.com","830 Richard Shore
Goodshire, NV 37011",VT,79969,Regular client,productize proactive relationships,2025-01-20
"Rush, Orr and Jordan",75,Mary Williams,(705)356-9079,"info@rush,orrandjordan.com","62085 Vanessa Plains Suite 562
New Brian, NJ 22896",PR,93389,Regular client,maximize viral channels,2025-01-20
Hernandez-Charles,76,Sarah Austin,(587)933-1422,info@hernandez-charles.com,"52280 Whitney Manor
New Gary, IL 51439",AL,04526,Regular client,enable integrated users,2025-01-20
Smith-Martinez,77,Sherri Watkins,+1-506-830-7609,info@smith-martinez.com,"2362 Christopher Greens
Burtonshire, PW 74964",MS,35846,Regular client,disintermediate robust applications,2025-01-20
Walton Inc,78,Michael Moreno,793.773.3469x0217,info@waltoninc.com,"369 Berry Manors Apt. 043
Fredstad, AS 92683",MI,43097,Regular client,integrate enterprise ROI,2025-01-20
Johnston Inc,79,Dylan Davis,+1-274-559-9045x016,info@johnstoninc.com,"4687 Arthur Street Apt. 735
Garciafort, RI 53118",CA,44499,Regular client,implement granular deliverables,2025-01-20
Williams LLC,80,Elizabeth Ruiz,297-598-4960x2526,info@williamsllc.com,"1361 Rodriguez Harbors
Olsonchester, CA 67767",VT,86097,Regular client,reinvent bleeding-edge users,2025-01-20
Curry LLC,81,Robert Harris,(969)890-2213x28426,info@curryllc.com,"74537 Anderson Underpass Apt. 129
Carrieland, KS 74471",CT,86960,Regular client,streamline global initiatives,2025-01-20
"Jones, Collins and Lamb",82,Nicholas Acosta,001-467-808-3384,"info@jones,collinsandlamb.com","48546 Felicia Landing
Juantown, NH 74200",MD,77561,Regular client,innovate end-to-end technologies,2025-01-20
Reese Inc,83,Rachel Howell,510-231-6595x5022,info@reeseinc.com,"025 Fitzgerald Fall
West Karenchester, IL 27924",FL,43640,Regular client,strategize revolutionary functionalities,2025-01-20
Tran Inc,84,Christopher Brown,962-503-7342x999,info@traninc.com,"87168 Johnny Avenue Apt. 584
South Dennis, PA 20920",TN,59682,Regular client,grow granular infrastructures,2025-01-20
Kennedy and Sons,85,Beth Butler,595-720-1817x272,info@kennedyandsons.com,"8420 Robert Rapid Apt. 253
South Jessicaside, WI 16525",KS,66670,Regular client,architect bleeding-edge eyeballs,2025-01-20
"Hernandez, Wong and Ayala",86,William Norris,499.507.3691x6029,"info@hernandez,wongandayala.com","216 Maxwell Mission
Colemanstad, ID 61177",UT,65825,Regular client,reinvent revolutionary metrics,2025-01-20
Miller Group,87,Elizabeth Stark,474.476.8832x55198,info@millergroup.com,"646 Jocelyn Plaza Apt. 979
Marthamouth, AS 83403",AL,72792,Regular client,seize web-enabled schemas,2025-01-20
"Williams, Adams and Garcia",88,Joseph Yu,+1-737-257-8527,"info@williams,adamsandgarcia.com","040 Rachel Square
Port Donna, LA 34276",NY,22605,Regular client,evolve strategic bandwidth,2025-01-20
Smith Ltd,89,Laura Contreras,8885552998,info@smithltd.com,"PSC 8597, Box 0928
APO AP 76876",AZ,38624,Regular client,deploy frictionless initiatives,2025-01-20
Willis Inc,90,Jose Stevens,813-405-3857x60631,info@willisinc.com,"4413 Kelly Camp
Michaelstad, OH 22585",VA,33405,Regular client,facilitate e-business content,2025-01-20
Williams-Kelly,91,Krystal Stone,(627)361-8310x679,info@williams-kelly.com,"7384 Jacobs River
East Charles, NM 37725",RI,67601,Regular client,harness cross-platform web services,2025-01-20
Hernandez-Perkins,92,Jerry Graham,413-376-8131,info@hernandez-perkins.com,"28811 Hawkins Drive Suite 919
New Melindaside, UT 11237",MS,04944,Regular client,facilitate web-enabled portals,2025-01-20
Phillips-Anderson,93,Randy Blair III,852-661-7853x921,info@phillips-anderson.com,"93910 Alyssa Well Suite 719
Brownland, UT 54594",IA,51376,Regular client,strategize best-of-breed e-markets,2025-01-20
Martinez Group,94,Tiffany Smith,(758)297-9857x3700,info@martinezgroup.com,"998 Adrian Turnpike
New Davidberg, MI 19083",VI,07819,Regular client,e-enable front-end metrics,2025-01-20
Harding-Williams,95,Troy Skinner MD,8628856875,info@harding-williams.com,"7398 Sean River
New Christopherfurt, KS 24128",MI,96713,Regular client,engage compelling e-business,2025-01-20
Rodriguez-Brown,96,Heather Daniel,+1-295-571-2111,info@rodriguez-brown.com,"USNS Bradshaw
FPO AP 24540",AS,35607,Regular client,envisioneer holistic models,2025-01-20
"Stein, Serrano and Williams",97,Denise Mejia,9739447716,"info@stein,serranoandwilliams.com","474 Denise Dam Apt. 223
Angelicaville, UT 25236",WI,69677,Regular client,deliver best-of-breed metrics,2025-01-20
Perez-Carroll,98,Karen Hernandez,270.735.3998x518,info@perez-carroll.com,"158 Johnson Cove
Port Brianside, SD 94601",NY,18127,Regular client,re-intermediate scalable bandwidth,2025-01-20
George Group,99,Ruben Cox,001-704-354-4656x57554,info@georgegroup.com,"551 Renee Club
Perezville, NV 54105",NC,15109,Regular client,seize distributed ROI,2025-01-20
Scott-Andrews,100,Ashley Ramos,853-761-8528x831,info@scott-andrews.com,"0427 Matthew Ridge Apt. 403
Jacksonhaven, AZ 27692",IA,80672,Regular client,streamline front-end channels,2025-01-20
